iter	Passed	Remaining
144	5621	13761
145	5659	13722
146	5696	13678
147	5736	13642
148	5772	13597
149	5812	13562
150	5851	13524
151	5890	13486
152	5929	13447
153	5967	13406
154	6004	13364
155	6042	13323
156	6082	13289
157	6122	13253
158	6162	13216
159	6212	13202
160	6250	13161
161	6287	13119
162	6325	13077
163	6362	13034
164	6398	12991
165	6436	12950
166	6477	12915
167	6517	12878
168	6554	12837
169	6594	12802
170	6635	12765
171	6679	12738
172	6718	12699
173	6756	12659
174	6794	12618
175	6839	12590
176	6879	12553
177	6919	12517
178	6961	12483
179	6996	12438
180	7033	12396
181	7074	12361
182	7113	12322
183	7154	12286
184	7203	12265
185	7249	12237
186	7297	12214
187	7342	12185
188	7385	12153
189	7427	12118
190	7470	12085
191	7519	12062
192	7557	12021
193	7598	11985
194	7638	11948
195	7681	11913
196	7720	11874
197	7760	11836
198	7797	11793
199	7843	11765
200	7879	11721
201	7916	11679
202	7954	11638
203	7992	11597
204	8034	11562
205	8078	11529
206	8115	11486
207	8155	11449
208	8198	11415
209	8236	11374
210	8275	11334
211	8318	11300
212	8354	11256
213	8394	11219
214	8435	11181
215	8479	11149
216	8519	11110
217	8560	11073
218	8601	11036
219	8640	10996
220	8680	10959
221	8720	10920
222	8761	10883
223	8800	10842
224	8840	10804
225	8879	10764
226	8915	10721
227	8951	10679
228	8990	10639
229	9029	10599
230	9070	10562
231	9108	10521
232	9151	10487
233	9198	10455
234	9237	10416
235	9278	10379
236	9317	10339
237	9362	10306
238	9400	10265
239	9438	10225
240	9476	10184
241	9520	10149
242	9563	10114
243	9599	10071
244	9641	10034
245	9687	10002
246	9725	9962
247	9767	9924
248	9804	9883
249	9846	9846
250	9885	9806
251	9926	9768
252	9967	9730
253	10004	9689
254	10059	9664
255	10113	9639
256	10161	9608
257	10205	9572
258	10259	9546
259	10300	9507
260	10338	9466
261	10375	9424
262	10413	9383
263	10452	9343
264	10492	9304
265	10534	9266
266	10570	9224
267	10607	9182
268	10648	9144
269	10687	9104
270	10731	9068
271	10772	9029
272	10810	8989
273	10851	8950
274	10892	8911
275	10931	8871
276	10971	8832
277	11013	8794
278	11051	8754
279	11090	8713
280	11134	8677
281	11179	8642
282	11218	8601
283	11259	8563
284	11299	8523
285	11339	8485
286	11376	8442
287	11417	8404
288	11456	8364
289	11491	8321
290	11531	8281
291	11573	8243
292	11613	8204
293	11660	8170
294	11701	8131
295	11738	8090
296	11776	8048
297	11820	8012
298	11859	7972
299	11901	7934
300	11942	7895
301	11980	7855
302	12024	7817
303	12063	7777
304	12102	7737
305	12149	7702
306	12190	7663
307	12232	7625
308	12271	7585
309	12309	7544
310	12351	7505
311	12390	7465
312	12428	7425
313	12467	7385
314	12512	7348
315	12553	7309
316	12593	7270
317	12631	7229
318	12671	7189
319	12709	7149
320	12746	7108
321	12788	7069
322	12832	7031
323	12870	6991
324	12913	6953
325	12954	6914
326	12994	6874
327	13038	6837
328	13075	6795
329	13119	6758
330	13160	6719
331	13203	6681
332	13243	6641
333	13281	6600
334	13325	6563
335	13367	6524
336	13409	6485
337	13447	6445
338	13488	6406
339	13531	6367
340	13572	6328
341	13616	6290
342	13656	6250
343	13701	6213
344	13745	6175
345	13784	6135
346	13828	6097
347	13870	6058
348	13910	6018
349	13949	5978
350	13992	5939
351	14034	5900
352	14079	5862
353	14124	5825
354	14165	5786
355	14203	5745
356	14241	5704
357	14282	5665
358	14322	5625
359	14366	5586
360	14408	5547
361	14447	5507
362	14488	5468
363	14526	5427
364	14567	5387
365	14605	5347
366	14643	5306
367	14681	5266
368	14718	5225
369	14759	5185
370	14802	5147
371	14841	5106
372	14884	5067
373	14922	5027
374	14966	4988
375	15006	4948
376	15046	4909
377	15087	4869
378	15132	4831
379	15172	4791
380	15211	4751
381	15251	4711
382	15292	4671
383	15333	4631
384	15373	4592
385	15412	4551
386	15448	4510
387	15487	4470
388	15529	4431
389	15573	4392
390	15620	4354
391	15660	4314
392	15702	4275
393	15740	4234
394	15781	4195
395	15823	4155
396	15864	4115
397	15906	4076
398	15947	4036
399	15996	3999
400	16033	3958
401	16069	3917
402	16123	3880
403	16170	3842
404	16211	3802
405	16253	3763
406	16293	3723
407	16336	3683
408	16387	3646
409	16429	3606
410	16468	3566
411	16509	3526
412	16547	3485
413	16585	3445
414	16627	3405
415	16667	3365
416	16709	3325
417	16747	3285
418	16789	3245
419	16827	3205
420	16869	3165
421	16911	3125
422	16949	3085
423	16987	3044
424	17025	3004
425	17065	2964
426	17110	2925
427	17153	2885
428	17199	2846
429	17242	2806
430	17290	2768
431	17334	2728
432	17377	2688
433	17427	2650
434	17471	2610
435	17521	2571
436	17570	2533
437	17616	2493
438	17663	2454
439	17710	2415
440	17755	2375
441	17798	2335
442	17840	2295
443	17877	2254
444	17916	2214
445	17960	2174
446	18002	2134
447	18040	2094
448	18088	2054
449	18130	2014
450	18167	1973
451	18210	1933
452	18252	1893
453	18294	1853
454	18334	1813
455	18373	1772
456	18414	1732
457	18452	1692
458	18493	1651
459	18533	1611
460	18571	1571
461	18616	1531
462	18654	1490
463	18693	1450
464	18731	1409
465	18774	1369
466	18815	1329
467	18854	1289
468	18896	1249
469	18936	1208
470	18980	1168
471	19022	1128
472	19064	1088
473	19114	1048
474	19153	1008
475	19198	968
476	19242	927
477	19283	887
478	19324	847
479	19368	807
480	19409	766
481	19450	726
482	19489	685
483	19528	645
484	19568	605
485	19607	564
486	19647	524
487	19689	484
488	19730	443
489	19798	404
490	19853	363
491	19913	323
492	19965	283
493	20016	243
494	20069	202
495	20124	162
496	20190	121
497	20255	81
498	20332	40
499	20398	0
