iter	RMSE
175	2933.008397
176	2932.79295
177	2932.530841
178	2932.150644
179	2932.039597
180	2931.890874
181	2931.639768
182	2931.449033
183	2931.067828
184	2930.918149
185	2930.620454
186	2930.450281
187	2930.325556
188	2930.188123
189	2930.000798
190	2929.770948
191	2929.535757
192	2929.262858
193	2928.970484
194	2928.679064
195	2928.431433
196	2928.226773
197	2927.843271
198	2927.711232
199	2927.516579
200	2927.220185
201	2927.028434
202	2926.767229
203	2926.649689
204	2926.468308
205	2926.278297
206	2926.114937
207	2926.012015
208	2925.855213
209	2925.812897
210	2925.599744
211	2925.3342
212	2925.245663
213	2924.950986
214	2924.607656
215	2924.445889
216	2924.284529
217	2924.135282
218	2924.020273
219	2923.817066
220	2923.579223
221	2923.458732
222	2923.287338
223	2923.082948
224	2922.941635
225	2922.812803
226	2922.74093
227	2922.53465
228	2922.406626
229	2922.236357
230	2922.080869
231	2921.946778
232	2921.859496
233	2921.703182
234	2921.555742
235	2921.43513
236	2921.294812
237	2921.176153
238	2921.047467
239	2920.934607
240	2920.809054
241	2920.727997
242	2920.587002
243	2920.445559
244	2920.352105
245	2919.927166
246	2919.636354
247	2919.521919
248	2919.466438
249	2919.261481
250	2919.227513
251	2919.097769
252	2918.790214
253	2918.683483
254	2918.523512
255	2918.410366
256	2918.269617
257	2918.052326
258	2917.752185
259	2917.672839
260	2917.635895
261	2917.543302
262	2917.407265
263	2917.334326
264	2917.22778
265	2916.885636
266	2916.716689
267	2916.607301
268	2916.504448
269	2916.368089
270	2916.255625
271	2916.136007
272	2916.003613
273	2915.762546
274	2915.640033
275	2915.52262
276	2915.297797
277	2915.185788
278	2915.157553
279	2915.033653
280	2914.939559
281	2914.818625
282	2914.660786
283	2914.406472
284	2914.26222
285	2914.148676
286	2914.057459
287	2913.958319
288	2913.884399
289	2913.778683
290	2913.658503
291	2913.362028
292	2913.224247
293	2912.946475
294	2912.688449
295	2912.582814
296	2912.352119
297	2912.223997
298	2912.116615
299	2911.861405
300	2911.705416
301	2911.614841
302	2911.536626
303	2911.462667
304	2911.397083
305	2911.335217
306	2911.108042
307	2911.041016
308	2910.93709
309	2910.868532
310	2910.655121
311	2910.554361
312	2910.447007
313	2910.350784
314	2910.263187
315	2910.13514
316	2909.94269
317	2909.879925
318	2909.777531
319	2909.678822
320	2909.552495
321	2909.367927
322	2909.191856
323	2909.121631
324	2908.884944
325	2908.576705
326	2908.39081
327	2908.303511
328	2908.18096
329	2908.096553
330	2908.010981
331	2907.795326
332	2907.718867
333	2907.5983
334	2907.424277
335	2907.150936
336	2907.079631
337	2906.933276
338	2906.722384
339	2906.656458
340	2906.634855
341	2906.50328
342	2906.445834
343	2906.323575
344	2906.250432
345	2906.103952
346	2905.893768
347	2905.660675
348	2905.576002
349	2905.362616
350	2905.258234
351	2905.193824
352	2905.051565
353	2904.984826
354	2904.956964
355	2904.900689
356	2904.800702
357	2904.718733
358	2904.655552
359	2904.576031
360	2904.519251
361	2904.309051
362	2904.22903
363	2904.10559
364	2904.003013
365	2903.91313
366	2903.828449
367	2903.743339
368	2903.727299
369	2903.552253
370	2903.48225
371	2903.37843
372	2903.296642
373	2903.161352
374	2902.882703
375	2902.779007
376	2902.717675
377	2902.649935
378	2902.522665
379	2902.319493
380	2902.236908
381	2902.071947
382	2901.993868
383	2901.846916
384	2901.800087
385	2901.693432
386	2901.640221
387	2901.472832
388	2901.280496
389	2901.154575
390	2900.936449
391	2900.831389
392	2900.663214
393	2900.591659
394	2900.537172
395	2900.415914
396	2900.351525
397	2900.181091
398	2900.122999
399	2899.90117
400	2899.831852
401	2899.796472
402	2899.734328
403	2899.576345
404	2899.515272
405	2899.335878
406	2899.264815
407	2899.114121
408	2898.908819
409	2898.779102
410	2898.63619
411	2898.536167
412	2898.507907
413	2898.389876
414	2898.298867
415	2898.257083
416	2898.07275
417	2898.025827
418	2897.785088
419	2897.660937
420	2897.565272
421	2897.378698
422	2897.327113
423	2897.314771
424	2897.268192
425	2897.151006
426	2897.090075
427	2897.040104
428	2896.868658
429	2896.818465
430	2896.72265
431	2896.6716
432	2896.609506
433	2896.567467
434	2896.524556
435	2896.413655
436	2896.223006
437	2896.119085
438	2896.05793
439	2895.976922
440	2895.877951
441	2895.778591
442	2895.717718
443	2895.697022
444	2895.634142
445	2895.360745
446	2895.295596
447	2895.233746
448	2895.183554
449	2895.084848
450	2895.002432
451	2894.93844
452	2894.84369
453	2894.757689
454	2894.633646
455	2894.597257
456	2894.506854
457	2894.431772
458	2894.328578
459	2894.26076
460	2894.210725
461	2894.079939
462	2894.034804
463	2893.976611
464	2893.891
465	2893.808916
466	2893.731123
467	2893.623268
468	2893.518761
469	2893.482477
470	2893.388492
471	2893.324622
472	2893.177848
473	2893.033431
474	2892.960282
475	2892.792497
476	2892.738993
477	2892.665801
478	2892.542725
479	2892.418437
480	2892.348313
481	2892.260803
482	2892.112507
483	2892.074032
484	2891.999149
485	2891.945746
486	2891.856272
487	2891.796373
488	2891.758662
489	2891.714749
490	2891.627507
491	2891.528793
492	2891.503708
493	2891.433595
494	2891.353815
495	2891.326729
496	2891.208384
497	2891.074682
498	2891.002471
499	2890.910823
